entity,nertype,count
Kanhai,GPE,1840
Wadala,GPE,1839
Uzbekistan,GPE,1837
Hague,GPE,1834
Kiran,GPE,1833
Indochina,GPE,1833
Kalimpong,GPE,1827
Johnston,GPE,1827
M.D.,GPE,1826
Yorkshire,GPE,1822
Illinois,GPE,1822
Palmerston,GPE,1818
Zaire,GPE,1815
Kumbharwada,GPE,1812
East Zone,GPE,1807
Dundee,GPE,1792
quito,GPE,1790
Kazakhstan,GPE,1787
Abbott,GPE,1783
Bremen,GPE,1782
Chandrasekhar,GPE,1779
Peshawur,GPE,1775
Helsinki,GPE,1773
AMERICA,GPE,1769
Brindisi,GPE,1766
Nagasaki,GPE,1763
tho United States,GPE,1762
Sardinia,GPE,1756
EROS,GPE,1753
Missouri,GPE,1752
L,GPE,1750
Ills,GPE,1750
Riga,GPE,1749
Smyrna,GPE,1748
Utah,GPE,1748
N,GPE,1738
Leipzig,GPE,1737
El Salvador,GPE,1736
Pooja,GPE,1734
Baramati,GPE,1734
Bradford City,GPE,1733
Tezpur,GPE,1732
Cincinnati,GPE,1727
Vinod,GPE,1724
Lagos,GPE,1724
Chechnya,GPE,1721
Guatemala,GPE,1720
BEIJING,GPE,1718
Aarey,GPE,1715
Minnesota,GPE,1715
Ghaziabad,GPE,1714
Satya,GPE,1711
I860,GPE,1709
Bussia,GPE,1704
Sarajevo,GPE,1695
Jaffna,GPE,1691
Nijalingappa,GPE,1690
Tottenham,GPE,1689
Tihar,GPE,1680
Thackeray,GPE,1674
Louisiana,GPE,1668
Mumbaiites,GPE,1667
Vandana,GPE,1665
anJ,GPE,1664
Latvia,GPE,1663
Vicar,GPE,1657
Nagpur,GPE,1656
Nuremberg,GPE,1650
Tigris,GPE,1647
Hinduja,GPE,1646
Moonset,GPE,1645
Pankaj,GPE,1645
anil,GPE,1643
Vaitarna,GPE,1641
37,GPE,1632
Monghyr,GPE,1631
Washington DC,GPE,1628
Imphal,GPE,1627
Tyabjee,GPE,1624
Louis,GPE,1623
121bs,GPE,1620
Full Moon,GPE,1618
Doha,GPE,1617
Bhoodan,GPE,1614
Bind,GPE,1610
YORK,GPE,1609
Connecticut,GPE,1606
Tennessee,GPE,1602
Uie,GPE,1600
the Soviet Government,GPE,1599
Paranjpe,GPE,1598
Motilal,GPE,1596
Waziristan,GPE,1596
Cambay,GPE,1590
Islands,GPE,1590
C.S.,GPE,1590
Fairfax,GPE,1588
Solapur,GPE,1586
The Hague,GPE,1584
Kabir,GPE,1584
Saudi Arabia 3,GPE,1579
Brooklyn,GPE,1579
Cooperage,GPE,1577
Swati,GPE,1576
Dharamsi,GPE,1574
Imtiaz,GPE,1572
Honduras,GPE,1570
Dividends,GPE,1569
Lakshml,GPE,1568
Sinkiang,GPE,1566
Lhasa,GPE,1565
BP,GPE,1565
Ihc,GPE,1564
conand,GPE,1563
Iowa,GPE,1560
Nirvana,GPE,1559
49,GPE,1557
Nyasaland,GPE,1552
Oshiwara,GPE,1551
Berbera,GPE,1549
morgue,GPE,1549
Nicosia,GPE,1548
MADRAS,GPE,1547
Ambica,GPE,1541
Kentucky,GPE,1537
Noida,GPE,1534
Bavaria,GPE,1531
Lucknow,GPE,1530
Sao Paulo,GPE,1528
Jacobabad,GPE,1528
Rifles,GPE,1525
Jabalpur,GPE,1525
